size,Throughput,type
Ethernet,1.57,BBR
Ethernet,0.08,BBR
Ethernet,0.2,BBR
Ethernet,2.04,BBR
Ethernet,0.34,BBR
Ethernet,0.67,BBR
Ethernet,1.64,BBR
Ethernet,0.09,BBR
Ethernet,1.36,BBR
Ethernet,0.12,BBR
Ethernet,0.32,BBR
Ethernet,0.17,BBR
Ethernet,2.04,BBR
Ethernet,4.8,BBR
Ethernet,2.15,BBR
Ethernet,0.04,BBR
Ethernet,0.6,BBR
Ethernet,0.12,BBR
Ethernet,0.14,BBR
Ethernet,0.32,BBR
Ethernet,0.23,BBR
Ethernet,2,BBR
Ethernet,1.96,BBR
Ethernet,0.25,BBR
Ethernet,0.58,BBR
Ethernet,0.12,BBR
Ethernet,3.02,BBR
Ethernet,0.44,BBR
Ethernet,0.02,BBR
Ethernet,0.21,BBR
Ethernet,2.88,BBR
Ethernet,1.93,BBR
Ethernet,0.25,BBR
Ethernet,0.63,BBR
Ethernet,0.13,BBR
Ethernet,0.58,BBR
Ethernet,0.1,BBR
Ethernet,0.52,BBR
Ethernet,0.18,BBR
Ethernet,2.3,BBR
Ethernet,0.84,BBR
Ethernet,0.2,BBR
Ethernet,0.52,BBR
Ethernet,4.59,BBR
Ethernet,1.71,BBR
Ethernet,0.13,BBR
Ethernet,0.44,BBR
Ethernet,0.09,BBR
Ethernet,0.6,BBR
Ethernet,0.38,BBR
Ethernet,3.44,BBR
Ethernet,2.39,BBR
Ethernet,1.29,BBR
Ethernet,0.08,BBR
Ethernet,0.04,BBR
Ethernet,0.45,BBR
Ethernet,0.09,BBR
Ethernet,0,BBR
Ethernet,3.38,BBR
Ethernet,2.59,BBR
Ethernet,1.04,BBR
Ethernet,0.08,BBR
Ethernet,0.04,BBR
Ethernet,1.77,BBR
Ethernet,0.13,BBR
Ethernet,0.09,BBR
Ethernet,0,BBR
Ethernet,0.17,BBR
Ethernet,2.53,BBR
Ethernet,0.91,BBR
Ethernet,0.17,BBR
Ethernet,0.88,BBR
Ethernet,1.78,BBR
Ethernet,0.12,BBR
Ethernet,0.37,BBR
Ethernet,0,BBR
Ethernet,0.33,BBR
Ethernet,2.46,BBR
Ethernet,0.96,BBR
Ethernet,3.68,BBR
Ethernet,0.89,BBR
Ethernet,1.32,BBR
Ethernet,0.13,BBR
Ethernet,0.1,BBR
Ethernet,0.42,BBR
Ethernet,8.35,BBR
Ethernet,2.28,BBR
Ethernet,3.56,BBR
Ethernet,0.06,BBR
Ethernet,0.7,BBR
Ethernet,0.02,BBR
Ethernet,0.91,BBR
Ethernet,0.76,BBR
Ethernet,0.09,BBR
Ethernet,0,BBR
Ethernet,5.25,BBR
Ethernet,2.48,BBR
Ethernet,4.56,BBR
Ethernet,0.79,BBR
Ethernet,0.06,BBR
Ethernet,3.42,BBR
Ethernet,0.4,BBR
Ethernet,4.07,BBR
Ethernet,8.03,BBR
Ethernet,1.59,BBR
Ethernet,0.6,BBR
Ethernet,1.22,BBR
Ethernet,0.08,BBR
Ethernet,0.78,BBR
Ethernet,13.21,BBR
Ethernet,0.02,BBR
Ethernet,1.27,BBR
Ethernet,0.75,BBR
Ethernet,1.25,BBR
Ethernet,0,BBR
Ethernet,3.99,BBR
Ethernet,0.31,BBR
Ethernet,3.97,BBR
Ethernet,0,BBR
Ethernet,0.29,BBR
Ethernet,10.25,BBR
Ethernet,5.88,BBR
Ethernet,0.04,BBR
Ethernet,2.85,BBR
Ethernet,1.34,BBR
Ethernet,0.08,BBR
Ethernet,4.04,BBR
Ethernet,0.26,BBR
Ethernet,10.84,BBR
Ethernet,12.34,BBR
Ethernet,10.38,BBR
Ethernet,3.42,BBR
Ethernet,3.01,BBR
Ethernet,1.2,BBR
Ethernet,6.1,BBR
Ethernet,10.3,BBR
Ethernet,11.94,BBR
Ethernet,0.06,BBR
Ethernet,0.25,BBR
Ethernet,4.19,BBR
Ethernet,9.45,BBR
Ethernet,0.1,BBR
Ethernet,2.46,BBR
Ethernet,0,BBR
Ethernet,0.63,BBR
Ethernet,11.28,BBR
Ethernet,10.09,BBR
Ethernet,0.05,BBR
Ethernet,9.79,BBR
Ethernet,3.29,BBR
Ethernet,1.81,BBR
Ethernet,0.07,BBR
Cellular,8.61,BBR
Cellular,0.89,BBR
Cellular,30.37,BBR
Cellular,2.16,BBR
Cellular,2.82,BBR
Cellular,0.76,BBR
Cellular,10.9,BBR
Cellular,1.37,BBR
Cellular,0.18,BBR
Cellular,6.62,BBR
Cellular,19.68,BBR
Cellular,2.44,BBR
Cellular,0.32,BBR
Cellular,5.21,BBR
Cellular,1.34,BBR
Cellular,0.06,BBR
Cellular,30.09,BBR
Cellular,9.35,BBR
Cellular,0.45,BBR
Cellular,0.9,BBR
Cellular,2.29,BBR
Cellular,0.48,BBR
Cellular,1.3,BBR
Cellular,0.56,BBR
Cellular,2.4,BBR
Cellular,1.97,BBR
Cellular,0.35,BBR
Cellular,0.94,BBR
Cellular,1.42,BBR
Cellular,0.11,BBR
Cellular,2.52,BBR
Cellular,0.97,BBR
Cellular,10.92,BBR
Cellular,3.27,BBR
Cellular,0.23,BBR
Cellular,1.56,BBR
Cellular,1.3,BBR
Cellular,0.14,BBR
Cellular,5.83,BBR
Cellular,2.28,BBR
Cellular,1.45,BBR
Cellular,0.67,BBR
Cellular,1.36,BBR
Cellular,1.22,BBR
Cellular,9.77,BBR
Cellular,0.47,BBR
Cellular,1.39,BBR
Cellular,1.92,BBR
Cellular,0.29,BBR
Cellular,5.93,BBR
Cellular,0.32,BBR
Cellular,0.7,BBR
Cellular,1.6,BBR
Cellular,0.16,BBR
Cellular,0.4,BBR
Cellular,1.9,BBR
Cellular,2.91,BBR
Cellular,0.11,BBR
Cellular,0.74,BBR
Cellular,1.51,BBR
Cellular,0.22,BBR
Cellular,2.15,BBR
Cellular,6.23,BBR
Cellular,1.44,BBR
Cellular,0.23,BBR
Cellular,1.24,BBR
Cellular,1.86,BBR
Cellular,5.9,BBR
Cellular,14.6,BBR
Cellular,0.89,BBR
Cellular,1.92,BBR
Cellular,1.59,BBR
Cellular,0.22,BBR
Cellular,7.88,BBR
Cellular,1.14,BBR
Cellular,0.51,BBR
Cellular,20.57,BBR
Cellular,1.87,BBR
Cellular,2.26,BBR
Cellular,1.59,BBR
Cellular,2.34,BBR
Cellular,1.12,BBR
Cellular,7.49,BBR
Cellular,6.01,BBR
Cellular,6.59,BBR
Cellular,0.59,BBR
Cellular,3.17,BBR
Cellular,1.36,BBR
Cellular,0.09,BBR
Cellular,2.3,BBR
Cellular,1.17,BBR
Cellular,1.2,BBR
Cellular,1.11,BBR
Cellular,2.6,BBR
Cellular,3.06,BBR
Cellular,11.15,BBR
Cellular,1.55,BBR
Cellular,0.08,BBR
Cellular,0.54,BBR
Cellular,5.32,BBR
Cellular,1.26,BBR
Cellular,21.06,BBR
Cellular,22.7,BBR
Cellular,1.73,BBR
Cellular,6.99,BBR
Cellular,21.55,BBR
Cellular,2.34,BBR
Cellular,0.38,BBR
Cellular,1.28,BBR
Cellular,0.15,BBR
Cellular,2.21,BBR
Cellular,0.49,BBR
Cellular,1.13,BBR
Cellular,0.07,BBR
Cellular,2.1,BBR
Cellular,1.46,BBR
Cellular,21.75,BBR
Cellular,2.24,BBR
Cellular,18.91,BBR
Cellular,1.07,BBR
Cellular,1.18,BBR
Cellular,19.36,BBR
Cellular,2.11,BBR
Cellular,11.53,BBR
Cellular,5.27,BBR
Cellular,1.18,BBR
Cellular,1.72,BBR
Cellular,2.05,BBR
Cellular,0.93,BBR
Cellular,0.03,BBR
Cellular,1.84,BBR
Cellular,0.42,BBR
Cellular,0.79,BBR
Cellular,8.52,BBR
Cellular,1.97,BBR
Cellular,1.17,BBR
Cellular,0.38,BBR
Cellular,1.08,BBR
Cellular,2.33,BBR
Cellular,2.23,BBR
Cellular,0.29,BBR
Cellular,1.46,BBR
Cellular,0.87,BBR
Cellular,6.14,BBR
Cellular,0.63,BBR
Cellular,0.47,BBR
Cellular,6.8,BBR
Cellular,0.06,BBR
Cellular,1.58,BBR
Cellular,0.7,BBR
Cellular,1.36,BBR
Cellular,0.31,BBR
Cellular,2.54,BBR
Cellular,8.44,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,0.62,BBR
Cloud,0.83,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,0.32,BBR
Cloud,0.37,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,1.01,BBR
Cloud,0.44,BBR
Cloud,0.01,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,0.01,BBR
Cloud,0.61,BBR
Cloud,0.74,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,0.4,BBR
Cloud,0.01,BBR
Cloud,0,BBR
Cloud,0.01,BBR
Cloud,0.65,BBR
Cloud,0.69,BBR
Cloud,0,BBR
Cloud,0,BBR
Cloud,0.94,BBR
